Qualification Code;Phases Code;Phases Description;Subject Code;Subject Credits;Notional Hours;Periods per Topic;Subject Description;Topic Code;Topic Description;Assessment Criteria Number;Assesment Criteria Description;LPN;Lesson Plan Description ;Lesson Plan Content;Bibliography;Lecturer Actions;Learner Actions;Learning Aids
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0502;Hand-held cutting tools (saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch);AC 22;"Identify and describe the hand-held cutting tools used by a mechanical engineer for example; saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch";LPN 29;Hand-held cutting tools (saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch);"Hand‑held cutting tools are essential for shaping, trimming, and finishing materials in mechanical engineering. Apprentices must learn to identify tools such as hacksaws, files, scrapers, chisels, and blades, understanding how each tool interacts with different materials. For example, files are used to remove small amounts of material and achieve smooth finishes, while chisels are used for controlled cutting or shaping. Taps and dies are used to cut internal and external threads, requiring precision and correct alignment to avoid damaging components.

Each cutting tool requires specific handling techniques and safety precautions. Apprentices must learn how to secure workpieces properly, maintain sharp cutting edges, and apply the correct amount of force to prevent slipping or breakage. They must also understand how to inspect tools for wear, replace damaged blades, and store tools safely to prevent accidents. By mastering hand‑held cutting tools, apprentices develop fine motor skills, accuracy, and confidence in performing detailed workshop tasks.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0503;Hand-held power tools (angle grinder, drills, drill bits and reamers);AC 23;Identify and describe the hand-held power tools used by a mechanical engineer such as angle grinder, drills, drill bits and reamers;LPN 30;Hand-held power tools (angle grinder, drills, drill bits and reamers);"Hand‑held power tools increase efficiency and precision in mechanical engineering tasks, but they also introduce significant safety risks if used incorrectly. Apprentices must learn to identify and operate tools such as angle grinders, electric drills, cordless drills, and pneumatic tools. They must understand the purpose of each tool, including how drill bits and reamers are selected based on material type, hole size, and required finish. Proper tool selection ensures accuracy and prevents damage to both the tool and the workpiece.

Safe operation of power tools requires strict adherence to workshop procedures. Apprentices must inspect tools before use, check that guards and safety features are intact, and ensure that cables and plugs are undamaged. They must also wear appropriate PPE, secure workpieces, and maintain a stable working posture. Understanding how to control speed, feed, and pressure is essential for preventing kickback, overheating, or tool failure. By mastering hand‑held power tools, apprentices develop the competence and confidence needed to perform high‑precision tasks safely and efficiently.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0504;Measurement tools and equipment (basic measurement tools, precision measuring tools, angular measuring tools, inspection gauges);AC 24;Identify and explain the use of mechanical engineering measurement calculations. Identify and describe the correct speeds, feeds, cutting tools and equipment used by mechanical engineers.;LPN 31;Measurement tools and equipment (basic measurement tools, precision measuring tools, angular measuring tools, inspection gauges);"Measurement tools are essential for ensuring accuracy and quality in mechanical engineering. Apprentices must learn to use basic measuring tools such as steel rules, tape measures, and vernier callipers, as well as precision instruments like micrometers, dial indicators, and depth gauges. These tools allow technicians to verify dimensions, tolerances, and alignment, ensuring that components meet design specifications. Understanding how to read measurements correctly and interpret tolerances is critical for producing high‑quality work.

In addition to measurement tools, apprentices must understand the principles of speeds and feeds used in machining operations. Selecting the correct cutting speed, feed rate, and tool material ensures efficient machining, reduces tool wear, and prevents overheating. Apprentices must learn how different materials respond to cutting forces and how to adjust machine settings accordingly. By mastering measurement tools and machining parameters, apprentices develop the technical precision required for advanced workshop tasks.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0505;Marking-off tools and equipment (punches, scribers, combination sets, protractors, callipers (inside and outside), jenny calliper, engineering square, angle plates, marking-off table, dividers);AC 25;Identify and describe the marking-off tools and equipment used by mechanical engineers in sepcific fitter and turners or machinists.;LPN 32;Marking-off tools and equipment (punches, scribers, combination sets, protractors, callipers (inside and outside), jenny calliper, engineering square, angle plates, marking-off table, dividers);"Marking‑off is the process of transferring measurements and layout information onto a workpiece before cutting, drilling, or machining. Apprentices must learn to identify and use marking‑off tools such as scribers, punches, dividers, protractors, combination sets, callipers, engineering squares, angle plates, and marking‑off tables. These tools help ensure that features such as holes, slots, and edges are positioned accurately according to engineering drawings. Proper marking‑off reduces errors, improves efficiency, and ensures that components fit together correctly during assembly.

Accurate marking‑off requires careful technique and attention to detail. Apprentices must learn how to secure workpieces, use datum points, and apply consistent pressure when scribing lines. They must also understand how to use centre punches to create starting points for drilling and how to verify angles and alignment using squares and protractors. By mastering marking‑off tools and techniques, apprentices develop the precision and planning skills necessary for high‑quality mechanical engineering work.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0601;Rigging (slings, block and tackle, chain block, steel ropes);AC 26;Identify and describe the types of rigging used by a mechanical engineers such as slings, block and tackle, chain block, steel ropes. Focus specific on the rigging equipment used by a fitter and turner or machinist.;LPN 33;Rigging (slings, block and tackle, chain block, steel ropes);"Rigging equipment is essential for lifting, moving, and positioning heavy components safely in a mechanical workshop. Apprentices must understand the purpose and characteristics of common rigging tools such as slings, chain blocks, steel wire ropes, and block‑and‑tackle systems. Slings, which may be made of chain, wire rope, or synthetic materials, are used to secure loads during lifting operations. Chain blocks allow controlled vertical lifting using a hand‑operated mechanism, while block‑and‑tackle systems use multiple pulleys to reduce the effort required to lift heavy loads. Steel wire ropes provide strength and flexibility for lifting and securing loads in various workshop applications.

Fitters, turners, and machinists frequently use rigging equipment when installing machinery, removing components, or positioning workpieces on large machines. Apprentices must learn how to inspect rigging equipment for wear, corrosion, broken strands, or damaged hooks before use. They must also understand load ratings, angle effects, and the importance of selecting the correct equipment for the weight and shape of the load. By mastering rigging tools and their applications, apprentices develop the competence needed to perform lifting tasks safely and efficiently.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0602;Rigging concepts;AC 27;Rigging concepts are discussed;LPN 34;Rigging concepts;"Rigging concepts form the theoretical foundation for safe lifting and load‑handling operations. Apprentices must understand key principles such as load distribution, centre of gravity, sling angles, and mechanical advantage. The centre of gravity determines how a load will behave when lifted, and incorrect estimation can cause the load to tilt or swing dangerously. Sling angles affect the tension in lifting equipment — smaller angles increase stress and can lead to equipment failure. Understanding these concepts helps apprentices plan lifts that are stable, controlled, and safe.

Mechanical advantage is another essential concept, particularly when using block‑and‑tackle systems or pulley arrangements. By increasing mechanical advantage, workers can lift heavier loads with less effort. Apprentices must also understand the importance of communication during rigging operations, including the use of standard hand signals and clear verbal instructions. By learning rigging concepts, apprentices develop the ability to plan and execute lifting operations with confidence and precision.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0603;Loads selection and limitations;AC 28;Identify and describe how loads are calculated and selected during rigging by a mechanical engineer.;LPN 35;Loads selection and limitations;"Selecting and calculating loads is a critical part of rigging, ensuring that lifting equipment is used within its safe working limits. Apprentices must learn how to determine the weight of a load, either through manufacturer specifications, engineering drawings, or manual estimation techniques. They must also understand how the shape, size, and centre of gravity influence load stability. Once the load weight is known, apprentices must select rigging equipment with an appropriate Working Load Limit (WLL), ensuring that all components — slings, hooks, shackles, and lifting devices — are rated for the task.

Load calculations also involve understanding sling configurations, such as vertical, basket, and choker hitches, each of which affects the load capacity differently. Apprentices must learn how sling angles increase tension and how to compensate by selecting stronger or additional slings. They must also consider environmental factors such as wind, uneven surfaces, or restricted spaces. By mastering load selection and calculation, apprentices ensure that lifting operations are performed safely, efficiently, and in compliance with industry standards.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0604;Safety precautions;AC 29;Identify and describe the safety precautions pertaining to rigging used by a mechanical engineer, focus specifically on the working of a fitter and turner or machinists;LPN 36;Safety precautions;"Rigging operations involve significant risks, and apprentices must understand the safety precautions required to prevent accidents and equipment failure. Before any lift, apprentices must inspect all rigging equipment for defects such as frayed slings, cracked hooks, worn chains, or damaged pulleys. They must ensure that the load is balanced, secured, and free of obstructions. Only trained personnel should operate lifting equipment, and all workers must maintain a safe distance from suspended loads. Clear communication and the use of standard hand signals are essential to coordinate movements and prevent misunderstandings.

Fitters and turners often work in environments where heavy components must be lifted onto machines or removed for maintenance. Apprentices must understand the importance of lockout procedures, proper positioning, and avoiding pinch points. They must also ensure that lifting equipment is anchored securely and that the path of travel is clear. Environmental factors such as slippery floors, poor lighting, or overhead hazards must be addressed before lifting begins. By following rigging safety precautions, apprentices protect themselves and their colleagues while ensuring that workshop operations remain efficient and incident‑free.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0701;Terminology related to screw threads (pitch, root diameter, nominal diameter, lead, flank, internal and external threads, helix angle, included angle);AC 30;Identify and explain Screw Thread terminology and how the profile of a thread is drawn with accurate resemblance to original object in terms of dimensions, shape and size;LPN 37;Terminology related to screw threads (pitch, root diameter, nominal diameter, lead, flank, internal and external threads, helix angle, included angle);"Understanding screw thread terminology is essential for apprentices working in mechanical engineering, as threads are used in almost every assembly, fastening, and machine component. Apprentices must learn key terms such as pitch, root diameter, nominal diameter, crest, flank, lead, helix angle, and included angle. Each term describes a specific feature of the thread profile and determines how the thread functions under load. For example, pitch refers to the distance between adjacent threads, while the lead is the distance a screw advances in one full rotation. These concepts help apprentices understand how threads transmit force, resist loosening, and maintain alignment.

Apprentices must also learn how thread profiles are represented in engineering drawings. This includes understanding how to draw external and internal threads, how to represent thread depth, and how to apply standard conventions such as hidden lines and simplified thread symbols. Accurate representation ensures that machinists can produce threads that meet design specifications and fit correctly with mating components. By mastering thread terminology and drawing conventions, apprentices develop the ability to interpret and produce precise threaded components used throughout mechanical engineering.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0702;Screw threads;AC 31;Identify and explain the various types of screw threads such as v-thread, acme, and square threads;LPN 38;Screw threads;"Screw threads come in a variety of forms, each designed for specific applications in mechanical engineering. Apprentices must learn to identify common thread types such as V‑threads, Acme threads, and square threads. V‑threads, which include metric and unified threads, are the most widely used for general fastening because their angled profile provides strong frictional locking. Acme threads have a trapezoidal shape that provides strength and smooth movement, making them ideal for lead screws, vices, and machine slides. Square threads offer high efficiency and minimal friction, making them suitable for power transmission applications such as jacks and presses.

Understanding the characteristics of each thread type helps apprentices select the correct thread for a given application. They must learn how thread shape affects load‑carrying capacity, wear resistance, and ease of manufacturing. Apprentices must also understand how threads are produced using taps, dies, lathes, and thread‑cutting tools. By mastering the different types of screw threads, apprentices develop the ability to choose and produce threads that meet functional, safety, and performance requirements in mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0703;Application of screw threads;AC 32;Explain the use and purpose of the different screw threads such as v-thread, acme, and square threads;LPN 39;Application of screw threads;"Different screw thread types are used for specific engineering purposes, and apprentices must understand how thread design influences performance. V‑threads are commonly used for fastening applications because their angled flanks create friction that prevents loosening under vibration. These threads are found in bolts, nuts, machine screws, and general workshop assemblies. Acme threads, with their broad, flat profile, are designed for transmitting motion and force. They are used in lead screws, clamps, and mechanical actuators where smooth, controlled movement is required. Square threads provide the highest efficiency for power transmission, making them ideal for heavy‑duty lifting equipment, presses, and jacks.

Apprentices must also understand how thread applications relate to safety and reliability. Choosing the wrong thread type can lead to premature wear, mechanical failure, or unsafe operating conditions. For example, using a V‑thread in a high‑load power transmission system may cause stripping or deformation. By learning the correct applications of screw threads, apprentices develop the ability to select appropriate fastening and motion‑control systems that meet engineering requirements and ensure safe operation.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0704;Thread calculations;AC 33;Explain how the the depth of different screw threads is calculated;LPN 40;Thread calculations;"Thread calculations are essential for producing accurate and functional screw threads. Apprentices must learn how to calculate thread depth, pitch, and major and minor diameters for different thread forms. For V‑threads, thread depth is determined using standard formulas based on the included angle and pitch. Acme and square threads require different calculations because of their unique profiles. Understanding these formulas ensures that threads are cut to the correct dimensions, allowing proper fit and load distribution between mating components.

Accurate thread calculations are critical for ensuring that threads function correctly under operational loads. If threads are cut too shallow, they may strip or fail under tension. If cut too deep, they may weaken the component or cause excessive friction. Apprentices must also understand how to verify thread dimensions using measuring tools such as thread gauges, micrometers, and pitch gauges. By mastering thread calculations, apprentices develop the precision and analytical skills required to produce high‑quality threaded components in mechanical engineering.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0801;Fasteners and locking devices (machine screws, set screws, cap screws, grub screw, studs, locking nuts and bolts, washers, circlips, pins, keys);AC 34;Types of fasteners and locking devices are identified and discussed;LPN 41;Fasteners and locking devices (machine screws, set screws, cap screws, grub screw, studs, locking nuts and bolts, washers, circlips, pins, keys);"Fasteners and locking devices are essential components in mechanical engineering, ensuring that parts are securely joined, aligned, and able to withstand operational loads. Apprentices must learn to identify common fasteners such as machine screws, set screws, cap screws, grub screws, studs, and bolts. Each fastener type serves a specific purpose: machine screws are used for general assembly, set screws secure components on shafts, and studs provide strong, permanent threaded connections. Washers distribute load and prevent damage to surfaces, while nuts provide the clamping force needed to secure bolts and studs.

Locking devices play a critical role in preventing fasteners from loosening due to vibration, thermal expansion, or dynamic loads. Apprentices must understand the function of locking nuts, spring washers, split pins, circlips, and keys. Circlips retain components on shafts or inside bores, while keys transmit torque between shafts and rotating parts. By learning the characteristics and applications of fasteners and locking devices, apprentices develop the ability to select the correct components for safe, reliable mechanical assemblies.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0802;Application of fasteners and locking devices;AC 35;The use of safety precautions of fasteners and locking devices is explained;LPN 42;Application of fasteners and locking devices;"Fasteners and locking devices must be applied correctly to ensure mechanical assemblies remain secure and safe during operation. Apprentices must understand how to select the correct fastener based on material, load requirements, thread type, and environmental conditions. For example, high‑tensile bolts are used in high‑stress applications, while stainless‑steel fasteners are preferred in corrosive environments. Proper torque application is essential to prevent over‑tightening, which can strip threads or deform components, and under‑tightening, which can lead to loosening and failure.

Safety precautions are critical when working with fasteners. Apprentices must inspect threads for wear or damage, ensure that mating components are clean and aligned, and use appropriate tools such as torque wrenches to achieve correct tightening. Locking devices must be installed according to manufacturer specifications to prevent accidental loosening. For example, split pins must be bent correctly, and circlips must be seated fully in their grooves. By understanding the correct application and safety requirements of fasteners and locking devices, apprentices ensure that mechanical systems operate reliably and safely.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0803;Drawings of fasteners and locking devices;AC 36;Explain how read and interpret gasteners and locking devices from drawings, eplain how to perform reehand drawings of different types of fasteners and locking devices;LPN 43;Drawings of fasteners and locking devices;"Engineering drawings use standard conventions to represent fasteners and locking devices, and apprentices must learn how to interpret these symbols accurately. Drawings may show fasteners in simplified or detailed form, depending on the purpose of the drawing. Apprentices must understand how bolts, nuts, washers, studs, keys, and circlips are represented in orthographic and isometric views. They must also learn how thread details, dimensions, and tolerances are indicated using standard notation. Accurate interpretation ensures that components are manufactured, selected, and assembled correctly.

In addition to reading drawings, apprentices must develop the ability to produce freehand sketches of fasteners and locking devices. This skill is essential for communicating ideas, planning repairs, and documenting workshop tasks. Apprentices must learn to sketch thread profiles, bolt heads, washers, keys, and retaining devices with correct proportions and clarity. By mastering both interpretation and freehand drawing, apprentices gain the ability to visualise mechanical assemblies and communicate technical information effectively in workshop environments.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0901;Arc welding and gas cutting equipment and consumables;AC 37;Desctribe the various Arc welding and gas cutting equipment used by a mechanical engineer, in specific used by a fitter and turner or machinist;LPN 44;Arc welding and gas cutting equipment and consumables;"Arc welding and gas cutting are essential processes in mechanical engineering, and apprentices must understand the equipment used to perform these tasks safely and effectively. Arc welding equipment typically includes a welding power source, electrode holder, earth clamp, welding cables, and consumable electrodes. Apprentices must learn the difference between AC and DC welding machines, how current settings affect penetration, and how electrode types influence weld quality. Gas cutting equipment includes oxygen and fuel gas cylinders, pressure regulators, hoses, flashback arrestors, and cutting torches. Each component must be used correctly to ensure clean, controlled cutting operations.

Fitters and turners frequently use welding and cutting equipment when modifying components, preparing materials, or performing maintenance tasks. Apprentices must understand how to select the correct consumables, such as electrode types, nozzle sizes, and gas pressures, based on material thickness and job requirements. They must also learn how to inspect equipment for leaks, wear, or damage before use. By mastering welding and cutting equipment, apprentices develop the technical competence required to perform fabrication and repair tasks safely and efficiently";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0902;Arc welding and gas cutting techniques and principles;AC 38;Arc welding and gas cutting techniques and principles are discussed  ;LPN 45;Arc welding and gas cutting techniques and principles;"Arc welding relies on the principle of creating an electric arc between an electrode and the workpiece to generate heat that melts metal and forms a weld. Apprentices must understand how arc length, travel speed, electrode angle, and current settings influence weld penetration, bead shape, and overall quality. They must also learn the differences between welding processes such as Shielded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), and Gas Tungsten Arc Welding (GTAW). Each process has specific applications, advantages, and limitations that apprentices must be able to identify.

Gas cutting operates on the principle of heating metal to its ignition temperature and then using a high‑pressure oxygen jet to oxidise and remove material. Apprentices must understand how to adjust gas pressures, set flame types (neutral, oxidising, carburising), and maintain correct torch angles to achieve clean cuts. They must also learn how material thickness, surface condition, and cutting speed affect cut quality. By mastering welding and cutting principles, apprentices develop the ability to perform fabrication tasks with precision, safety, and confidence.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0903;Material selection;AC 39;Explain how arc welding material is selected according to different user or application;LPN 46;Material selection;"Selecting the correct welding materials is essential for producing strong, durable welds that meet engineering requirements. Apprentices must learn how to choose electrodes, filler metals, and shielding gases based on the type of base metal, joint design, and service conditions. For example, mild steel electrodes are suitable for general fabrication, while low‑hydrogen electrodes are required for high‑strength steels to prevent cracking. Stainless steel and aluminium require specialised consumables to ensure corrosion resistance and proper metallurgical compatibility.

Material selection also depends on the application and environment in which the welded component will operate. Factors such as load conditions, temperature variations, corrosion exposure, and required mechanical properties must be considered. Apprentices must learn to interpret welding procedure specifications (WPS) and manufacturer guidelines to ensure correct material selection. By understanding how to choose appropriate welding materials, apprentices ensure that welded components perform reliably and safely in real‑world applications.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0904;Cutting and welding defects;AC 40;Explain the different welding defects;LPN 47;Cutting and welding defects;"Welding defects compromise the strength, appearance, and safety of welded components, and apprentices must learn to identify and prevent them. Common welding defects include porosity, cracks, undercut, slag inclusion, incomplete fusion, and excessive spatter. Porosity occurs when gas becomes trapped in the weld metal, often due to contamination or incorrect shielding. Cracks may form due to rapid cooling, high residual stresses, or improper material selection. Undercut weakens the joint by removing material from the base metal, while slag inclusion results from improper cleaning between weld passes.

Apprentices must understand the causes of each defect and how to prevent them through correct technique, proper equipment settings, and good preparation. This includes cleaning surfaces, maintaining correct arc length, selecting appropriate electrodes, and controlling travel speed. They must also learn how to inspect welds visually and with basic testing methods to ensure quality. By mastering welding defect identification and prevention, apprentices develop the ability to produce safe, reliable, and high‑quality welds.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
