"StandardNumber","Title"
"SANS 60364-7-703 Ed 1","Electrical installations of buildings - Part 7-703: Requirements for special installations or locations - Rooms and cabins containing sauna heaters"
"SANS 60364-7-704 Ed 1","Low-voltage electrical installations - Part 7-704: Requirements for special installations or locations - Construction and demolition site installations"
"SANS 60364-7-705 Ed 1","Low-voltage electrical installations - Part 7-705: Requirements for special installations or locations - Agricultural and horticultural premises."
"SANS 60364-7-706 Ed 1","Low-voltage electrical installations - Part 7-706: Requirements for special installations or locations - Conducting locations with restricted movement"
"SANS 60364-7-708 Ed 1","Low-voltage electrical installations - Part 7-708: Requirements for special installations or locations - Caravan parks, camping parks and similar locations"
"SANS 60364-7-709 Ed 1","Low-voltage electrical installations - Part 7-709: Requirements for special installations or locations - Marinas and similar locations"
"SANS 60364-7-711 Ed 1","Low-voltage electrical installations - Part 7-711: Requirements for special installations or locations - Exhibitions, shows and stands."
"SANS 60364-7-713 Ed 1","Low-voltage electrical installations - Part 7-713: Requirements for special installations or locations – Furniture"
"SANS 60364-7-714 Ed 1","Low-voltage electrical installations - Part 7-714: Requirements for special installations or locations - External lighting installations"
"SANS 60364-7-715 Ed 1","Low-voltage electrical installations - Part 7-715: Requirements for special installations or locations - Extra-low-voltage lighting installations"
"SANS 60364-7-716 Ed 1","Low-voltage electrical installations - Part 7-716: Requirements for special installations or locations - ELV DC power distribution over information and communications technology (ICT) cable infrastructure"
"SANS 60364-7-717 Ed 1","Low-voltage electrical installations - Part 7-717: Requirements for special installations or locations - Mobile or transportable units."
"SANS 60364-7-721 Ed 1","Low-voltage electrical installations - Part 7-721: Requirements for special installations or locations - Electrical installations in caravans and motor caravans."
"SANS 60364-7-729 Ed 1","Low-voltage electrical installations - Part 7-729: Requirements for special installations or locations - Operating or maintenance gangways."
"SANS 60364-7-740 Ed 1","Electrical installations of buildings - Part 7-740: Requirements for special installations or locations - Temporary electrical installations for structures, amusement devices and booths at fairgrounds, amusement parks and circuses."
"SANS 60364-7-753 Ed 1","Low-voltage electrical installations - Part 7-753: Requirements for special installations or locations - Heating cables and embedded heating systems."
"SANS 60364-8-1 Ed 1","Low-voltage electrical installations - Part 8-1: Functional aspects - Energy efficiency."
"SANS 60364-8-82 Ed 1","Low-voltage electrical installations - Part 8-82: Functional aspects - Prosumer's low-voltage electrical installations."
"SANS 6047 Ed 2.1","Water - Determination of dissolved oxygen in different water samples using the Winkler's method"
"SANS 60601-2-33 Ed 2","Medical electrical equipment Part 2-33: Particular requirements for the basic safety and essential performance of magnetic resonance equipment for medical diagnosis."
"SANS 60942 Ed 3","Electroacoustics — Sound calibrators."
"SANS 80601-2-72 Ed 2","Medical electrical equipment Part 2-72: Particular requirements for basic safety and essential performance of home healthcare environment ventilators for ventilator-dependent patients."
"SANS 819 Ed 3.6","Fibre-cement pipes, couplings and fittings for sewerage, drainage and low-pressure irrigation"
